Hydro_Jahr;Jahreszeit;Unterschreitungsdauer;Summe Ablussdefizite
1950;Fruehling;7;85255,2
1950;Herbst;21;578124
1950;Winter;12;147139,2
1951;Fruehling;5;44668,8
1951;Herbst;54;1107475,2
1951;Sommer;30;524361,6
1951;Winter;1;1209,6
1952;Fruehling;17;208094,4
1952;Herbst;24;559267,2
1952;Sommer;50;1202688
1953;Fruehling;22;432561,6
1953;Herbst;25;267084
1953;Sommer;33;690357,6
1953;Winter;10;83851,2
1954;Fruehling;42;954547,2
1954;Herbst;7;60048
1954;Sommer;46;611539,2
1955;Fruehling;1;4622,4
1955;Herbst;46;647136
1955;Sommer;47;796392
1956;Fruehling;34;762955,2
1956;Herbst;14;240062,4
1956;Sommer;49;855036
1957;Fruehling;31;770299,2
1957;Herbst;3;49118,4
1957;Sommer;53;1540036,8
1957;Winter;5;53956,8
1958;Fruehling;12;96681,6
1958;Herbst;17;279374,4
1958;Sommer;60;1587859,2
1958;Winter;2;20908,8
1959;Fruehling;1;1814,4
1959;Herbst;42;709948,8
1959;Sommer;50;801878,4
1960;Fruehling;67;2113560
1960;Herbst;4;50457,6
1960;Sommer;22;286588,8
1961;Fruehling;1;20088
1961;Herbst;50;1992816
1961;Sommer;41;1465473,6
1961;Winter;1;8164,8
1962;Herbst;49;1089417,6
1962;Sommer;41;837043,2
1962;Winter;1;259,2
1963;Fruehling;22;362534,4
1963;Herbst;23;444960
1963;Sommer;14;272937,6
1963;Winter;30;541036,8
1964;Fruehling;17;293479,2
1964;Herbst;28;339724,8
1964;Sommer;47;584949,6
1964;Winter;3;18511,2
1965;Fruehling;29;775958,4
1965;Herbst;41;906768
1965;Sommer;24;771552
1966;Fruehling;6;98668,8
1966;Herbst;57;2148768
1966;Sommer;30;758160
1967;Fruehling;6;39700,8
1967;Herbst;33;860911,2
1967;Sommer;52;1551830,4
1968;Fruehling;40;965088
1968;Herbst;3;40435,2
1968;Sommer;34;907027,2
1968;Winter;14;191548,8
1969;Fruehling;5;92124
1969;Herbst;24;374371,2
1969;Sommer;44;866073,6
1969;Winter;17;313567,2
1970;Fruehling;7;115862,4
1970;Herbst;19;541382,4
1970;Sommer;44;986169,6
1970;Winter;26;533001,6
1971;Fruehling;11;140356,8
1971;Herbst;33;597153,6
1971;Sommer;16;239760
1971;Winter;32;550972,8
1972;Fruehling;10;105062,4
1972;Herbst;22;480211,2
1972;Sommer;32;504835,2
1972;Winter;26;591667,2
1973;Fruehling;3;19418,4
1973;Herbst;39;733860
1973;Sommer;45;1222063,2
1973;Winter;9;86421,6
1974;Fruehling;31;689731,2
1974;Herbst;21;489283,2
1974;Sommer;43;1484179,2
1975;Fruehling;8;90288
1975;Herbst;29;664308
1975;Sommer;40;963273,6
1975;Winter;16;176860,8
1976;Fruehling;5;34214,4
1976;Herbst;22;330566,4
1976;Sommer;53;1190160
1976;Winter;13;200275,2
1977;Fruehling;7;88473,6
1977;Herbst;34;764899,2
1977;Sommer;32;917913,6
1977;Winter;12;87955,2
1978;Fruehling;6;29116,8
1978;Herbst;46;812851,2
1978;Sommer;35;685670,4
1978;Winter;5;61257,6
1979;Fruehling;3;23155,2
1979;Herbst;38;805161,6
1979;Sommer;47;1160611,2
1979;Winter;3;30326,4
1980;Fruehling;17;344606,4
1980;Herbst;42;711763,2
1980;Sommer;32;781920
1980;Winter;1;19828,8
1981;Fruehling;11;118972,8
1981;Herbst;25;645148,8
1981;Sommer;53;1582848
1982;Fruehling;8;111369,6
1982;Herbst;36;730512
1982;Sommer;45;932061,6
1982;Winter;1;3175,2
1983;Herbst;73;1351857,6
1983;Sommer;25;326980,8
1983;Winter;2;24192
1984;Fruehling;34;709689,6
1984;Sommer;52;1319500,8
1985;Fruehling;7;54280,8
1985;Herbst;69;1965837,6
1985;Sommer;7;33544,8
1985;Winter;7;73807,2
1986;Herbst;51;1241697,6
1986;Sommer;37;999432
1986;Winter;6;42076,8
1987;Fruehling;2;20952
1987;Herbst;44;1246060,8
1987;Sommer;41;1200031,2
1987;Winter;5;42184,8
1988;Fruehling;12;167788,8
1988;Herbst;34;422755,2
1988;Sommer;42;765244,8
1988;Winter;4;14860,8
1989;Fruehling;8;120355,2
1989;Herbst;27;302659,2
1989;Sommer;50;1639526,4
1989;Winter;9;80524,8
1990;Fruehling;12;166752
1990;Herbst;23;182347,2
1990;Sommer;60;1689811,2
1991;Fruehling;18;182736
1991;Herbst;15;184982,4
1991;Sommer;55;1393718,4
1991;Winter;4;19008
1992;Fruehling;5;30067,2
1992;Herbst;34;574473,6
1992;Sommer;52;1659225,6
1993;Fruehling;16;211161,6
1993;Herbst;12;300153,6
1993;Sommer;61;2584137,6
1994;Fruehling;8;167616
1994;Herbst;22;412905,6
1994;Sommer;58;2095718,4
1994;Winter;2;14342,4
1995;Herbst;30;408412,8
1995;Sommer;54;1439337,6
1995;Winter;3;26611,2
1996;Fruehling;26;369489,6
1996;Herbst;8;67737,6
1996;Sommer;57;1765173,6
1997;Fruehling;8;45100,8
1997;Herbst;14;277430,4
1997;Sommer;34;939600
1997;Winter;37;446990,4
1998;Fruehling;21;359769,6
1998;Herbst;21;547776
1998;Sommer;50;2618956,8
1999;Fruehling;7;150811,2
1999;Herbst;49;681739,2
1999;Sommer;39;1106049,6
2000;Herbst;34;425649,6
2000;Sommer;55;1546581,6
2000;Winter;6;42552
2001;Herbst;46;1800532,8
2001;Sommer;50;1237809,6
2002;Fruehling;13;257947,2
2002;Herbst;45;1473854,4
2002;Sommer;33;548510,4
2003;Herbst;37;708717,6
2003;Sommer;45;1554487,2
2003;Winter;10;92923,2
2004;Herbst;40;929577,6
2004;Sommer;52;1790985,6
2005;Herbst;48;1077321,6
2005;Sommer;39;820994,4
2005;Winter;7;21189,6
2006;Fruehling;8;164937,6
2006;Herbst;33;416901,6
2006;Sommer;51;2271780
2006;Winter;2;6004,8
2007;Fruehling;28;915235,2
2007;Herbst;44;772761,6
2007;Sommer;19;471420
2008;Fruehling;4;37843,2
2008;Herbst;33;611668,8
2008;Sommer;29;388929,6
2008;Winter;24;544233,6
2009;Fruehling;11;118173,6
2009;Herbst;42;533649,6
2009;Sommer;41;689839,2
2010;Fruehling;30;433684,8
2010;Herbst;1;367,2
2010;Sommer;60;2719180,8
2011;Fruehling;34;765374,4
2011;Herbst;40;516326,4
2011;Sommer;23;438415,2
2012;Fruehling;5;35856
2012;Herbst;46;1042416
2012;Sommer;41;1405555,2
2013;Fruehling;5;30067,2
2013;Herbst;15;204336
2013;Sommer;63;1830729,6
2013;Winter;6;11923,2
2014;Fruehling;35;778183,2
2014;Herbst;27;284752,8
2014;Sommer;24;851644,8
2014;Winter;5;6069,6
2015;Fruehling;17;308145,6
2015;Herbst;44;1167436,8
2015;Sommer;30;346464
2016;Herbst;65;840391,2
2016;Sommer;15;160466,4
2016;Winter;15;254728,8
2017;Herbst;41;595965,6
2017;Sommer;51;1248328,8
2018;Herbst;44;317606,4
2018;Sommer;58;526176
2019;Fruehling;5;70027,2
2019;Sommer;92;2835043,2
2020;Herbst;19;270864
2020;Sommer;40;534124,8
