,Jahr,MO_TROPENNAECHTE,MO_FROSTTAGE,MO_SOMMERTAGE,MO_HEISSE_TAGE,MO_EISTAGE,MO_SOMMERTAGE_RCP8.5_Minimum,MO_SOMMERTAGE_RCP8.5_Median,MO_SOMMERTAGE_RCP8.5_Maximum,MO_SOMMERTAGE_RCP4.5_Minimum,MO_SOMMERTAGE_RCP4.5_Median,MO_SOMMERTAGE_RCP4.5_Maximum,MO_SOMMERTAGE_RCP2.6_Minimum,MO_SOMMERTAGE_RCP2.6_Median,MO_SOMMERTAGE_RCP2.6_Maximum,MO_HEISSE_TAGE_RCP8.5_Minimum,MO_HEISSE_TAGE_RCP8.5_Median,MO_HEISSE_TAGE_RCP8.5_Maximum,MO_HEISSE_TAGE_RCP4.5_Minimum,MO_HEISSE_TAGE_RCP4.5_Median,MO_HEISSE_TAGE_RCP4.5_Maximum,MO_HEISSE_TAGE_RCP2.6_Minimum,MO_HEISSE_TAGE_RCP2.6_Median,MO_HEISSE_TAGE_RCP2.6_Maximum,MO_TROPENNAECHTE_RCP8.5_Minimum,MO_TROPENNAECHTE_RCP8.5_Median,MO_TROPENNAECHTE_RCP8.5_Maximum,MO_TROPENNAECHTE_RCP4.5_Minimum,MO_TROPENNAECHTE_RCP4.5_Median,MO_TROPENNAECHTE_RCP4.5_Maximum,MO_TROPENNAECHTE_RCP2.6_Minimum,MO_TROPENNAECHTE_RCP2.6_Median,MO_TROPENNAECHTE_RCP2.6_Maximum,MO_FROSTTAGE_RCP8.5_Minimum,MO_FROSTTAGE_RCP8.5_Median,MO_FROSTTAGE_RCP8.5_Maximum,MO_FROSTTAGE_RCP4.5_Minimum,MO_FROSTTAGE_RCP4.5_Median,MO_FROSTTAGE_RCP4.5_Maximum,MO_FROSTTAGE_RCP2.6_Minimum,MO_FROSTTAGE_RCP2.6_Median,MO_FROSTTAGE_RCP2.6_Maximum,MO_EISTAGE_RCP8.5_Minimum,MO_EISTAGE_RCP8.5_Median,MO_EISTAGE_RCP8.5_Maximum,MO_EISTAGE_RCP4.5_Minimum,MO_EISTAGE_RCP4.5_Median,MO_EISTAGE_RCP4.5_Maximum,MO_EISTAGE_RCP2.6_Minimum,MO_EISTAGE_RCP2.6_Median,MO_EISTAGE_RCP2.6_Maximum
0,1969.0,0.0,59.0,29.0,5.0,9.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
1,1971.0,0.0,60.0,30.0,5.0,10.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1972.0,0.0,59.0,30.0,5.0,10.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3,1973.0,0.0,58.0,30.0,5.0,10.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
4,1975.0,0.0,55.0,31.0,5.0,9.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
5,1976.0,0.0,56.0,31.0,5.0,9.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
6,1977.0,0.0,55.0,32.0,5.0,9.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
7,1978.0,0.0,52.0,32.0,6.0,7.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
8,1979.0,0.0,51.0,33.0,6.0,7.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
9,1980.0,0.0,52.0,33.0,6.0,8.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
10,1982.0,0.0,51.0,33.0,6.0,8.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
11,1983.0,0.0,51.0,33.0,6.0,8.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
12,1984.0,0.0,49.0,34.0,6.0,7.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
13,1985.0,0.0,48.0,33.0,6.0,7.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
14,1986.0,,,,,,33.06818181818182,33.18030303030303,33.66818181818182,33.057575757575755,33.16969696969697,33.553030303030305,33.00606060606061,33.125757575757575,33.406060606060606,6.006060606060606,6.0606060606060606,6.356060606060606,6.007575757575758,6.0590909090909095,6.281818181818182,6.0,6.033333333333333,6.175757575757576,0.0,0.030303030303030304,0.3181818181818182,0.0,0.01818181818181818,0.22424242424242424,-0.0015151515151515152,0.004545454545454545,0.16666666666666666,47.27272727272727,47.61515151515152,47.79848484848485,47.333333333333336,47.63333333333333,47.81666666666667,47.38636363636363,47.74848484848485,48.0030303030303,6.715151515151515,6.892424242424243,6.960606060606061,6.774242424242424,6.8954545454545455,6.975757575757576,6.680303030303031,6.904545454545454,7.0227272727272725
15,1987.0,,,,,,33.13636363636363,33.36060606060606,34.336363636363636,33.11515151515152,33.339393939393936,34.10606060606061,33.012121212121215,33.25151515151515,33.81212121212121,6.012121212121212,6.121212121212121,6.712121212121212,6.015151515151516,6.118181818181818,6.5636363636363635,6.0,6.066666666666666,6.351515151515152,0.0,0.06060606060606061,0.6363636363636364,0.0,0.03636363636363636,0.4484848484848485,-0.0030303030303030303,0.00909090909090909,0.3333333333333333,46.54545454545455,47.23030303030303,47.596969696969694,46.666666666666664,47.266666666666666,47.63333333333333,46.77272727272727,47.4969696969697,48.00606060606061,6.430303030303031,6.784848484848485,6.921212121212121,6.548484848484849,6.790909090909091,6.951515151515151,6.36060606060606,6.809090909090909,7.045454545454546
16,1988.0,,,,,,33.20454545454545,33.54090909090909,35.00454545454546,33.17272727272727,33.50909090909091,34.65909090909091,33.018181818181816,33.377272727272725,34.21818181818182,6.0181818181818185,6.181818181818182,7.068181818181818,6.0227272727272725,6.177272727272728,6.845454545454546,6.0,6.1,6.527272727272727,0.0,0.09090909090909091,0.9545454545454546,0.0,0.05454545454545454,0.6727272727272727,-0.004545454545454545,0.013636363636363636,0.5,45.81818181818182,46.845454545454544,47.39545454545455,46.0,46.9,47.45,46.15909090909091,47.24545454545454,48.00909090909091,6.1454545454545455,6.677272727272728,6.881818181818182,6.322727272727272,6.6863636363636365,6.927272727272728,6.040909090909091,6.713636363636364,7.068181818181818
17,1989.0,,,,,,33.27272727272727,33.72121212121212,35.67272727272727,33.23030303030303,33.67878787878788,35.21212121212121,33.02424242424242,33.5030303030303,34.624242424242425,6.024242424242424,6.242424242424242,7.424242424242424,6.03030303030303,6.236363636363636,7.127272727272727,6.0,6.133333333333333,6.703030303030303,0.0,0.12121212121212122,1.2727272727272727,0.0,0.07272727272727272,0.896969696969697,-0.006060606060606061,0.01818181818181818,0.6666666666666666,45.09090909090909,46.46060606060606,47.193939393939395,45.333333333333336,46.53333333333333,47.266666666666666,45.54545454545455,46.99393939393939,48.012121212121215,5.86060606060606,6.569696969696969,6.842424242424243,6.096969696969697,6.581818181818182,6.903030303030303,5.721212121212121,6.618181818181818,7.090909090909091
18,1990.0,,,,,,33.34090909090909,33.90151515151515,36.34090909090909,33.28787878787879,33.84848484848485,35.765151515151516,33.03030303030303,33.628787878787875,35.03030303030303,6.03030303030303,6.303030303030303,7.78030303030303,6.037878787878788,6.295454545454546,7.409090909090909,6.0,6.166666666666667,6.878787878787879,0.0,0.15151515151515152,1.5909090909090908,0.0,0.09090909090909091,1.121212121212121,-0.007575757575757576,0.022727272727272728,0.8333333333333333,44.36363636363636,46.07575757575758,46.99242424242424,44.666666666666664,46.166666666666664,47.083333333333336,44.93181818181818,46.74242424242424,48.015151515151516,5.575757575757576,6.462121212121212,6.803030303030303,5.871212121212121,6.4772727272727275,6.878787878787879,5.401515151515151,6.5227272727272725,7.113636363636363
19,1991.0,,,,,,33.40909090909091,34.08181818181818,37.00909090909091,33.345454545454544,34.018181818181816,36.31818181818182,33.03636363636364,33.75454545454546,35.43636363636364,6.036363636363636,6.363636363636363,8.136363636363637,6.045454545454546,6.3545454545454545,7.690909090909091,6.0,6.2,7.054545454545455,0.0,0.18181818181818182,1.9090909090909092,0.0,0.10909090909090909,1.3454545454545455,-0.00909090909090909,0.02727272727272727,1.0,43.63636363636364,45.69090909090909,46.79090909090909,44.0,45.8,46.9,44.31818181818182,46.49090909090909,48.018181818181816,5.290909090909091,6.3545454545454545,6.763636363636364,5.6454545454545455,6.372727272727273,6.8545454545454545,5.081818181818182,6.427272727272728,7.136363636363637
20,1992.0,,,,,,33.47727272727273,34.262121212121215,37.67727272727273,33.403030303030306,34.18787878787879,36.871212121212125,33.04242424242424,33.88030303030303,35.842424242424244,6.042424242424242,6.424242424242424,8.492424242424242,6.053030303030303,6.413636363636364,7.972727272727273,6.0,6.233333333333333,7.2303030303030305,0.0,0.21212121212121213,2.227272727272727,0.0,0.12727272727272726,1.5696969696969698,-0.010606060606060607,0.031818181818181815,1.1666666666666665,42.90909090909091,45.306060606060605,46.589393939393936,43.333333333333336,45.43333333333334,46.71666666666667,43.70454545454545,46.23939393939394,48.02121212121212,5.006060606060606,6.246969696969697,6.724242424242425,5.41969696969697,6.268181818181818,6.83030303030303,4.762121212121212,6.331818181818182,7.159090909090909
21,1993.0,,,,,,33.54545454545455,34.442424242424245,38.345454545454544,33.46060606060606,34.35757575757576,37.42424242424242,33.04848484848485,34.00606060606061,36.24848484848485,6.048484848484849,6.484848484848484,8.848484848484848,6.0606060606060606,6.472727272727273,8.254545454545454,6.0,6.266666666666667,7.406060606060606,0.0,0.24242424242424243,2.5454545454545454,0.0,0.14545454545454545,1.793939393939394,-0.012121212121212121,0.03636363636363636,1.3333333333333333,42.18181818181818,44.92121212121212,46.38787878787879,42.666666666666664,45.06666666666667,46.53333333333333,43.09090909090909,45.987878787878785,48.02424242424242,4.721212121212121,6.13939393939394,6.684848484848485,5.193939393939393,6.163636363636364,6.806060606060606,4.442424242424242,6.236363636363636,7.181818181818182
22,1994.0,,,,,,33.61363636363637,34.622727272727275,39.013636363636365,33.518181818181816,34.52727272727273,37.97727272727273,33.054545454545455,34.13181818181818,36.654545454545456,6.054545454545455,6.545454545454545,9.204545454545455,6.068181818181818,6.531818181818182,8.536363636363637,6.0,6.3,7.581818181818182,0.0,0.2727272727272727,2.8636363636363638,0.0,0.16363636363636364,2.018181818181818,-0.013636363636363636,0.04090909090909091,1.5,41.45454545454545,44.53636363636364,46.18636363636364,42.0,44.7,46.35,42.47727272727273,45.736363636363635,48.02727272727273,4.4363636363636365,6.031818181818182,6.6454545454545455,4.968181818181819,6.059090909090909,6.781818181818182,4.122727272727273,6.140909090909091,7.204545454545454
23,1995.0,,,,,,33.68181818181818,34.803030303030305,39.68181818181818,33.57575757575758,34.696969696969695,38.53030303030303,33.06060606060606,34.25757575757576,37.06060606060606,6.0606060606060606,6.606060606060606,9.56060606060606,6.075757575757576,6.590909090909091,8.818181818181818,6.0,6.333333333333333,7.757575757575758,0.0,0.30303030303030304,3.1818181818181817,0.0,0.18181818181818182,2.242424242424242,-0.015151515151515152,0.045454545454545456,1.6666666666666665,40.72727272727273,44.15151515151515,45.984848484848484,41.333333333333336,44.333333333333336,46.166666666666664,41.86363636363636,45.484848484848484,48.03030303030303,4.151515151515151,5.924242424242424,6.606060606060606,4.742424242424242,5.954545454545455,6.757575757575758,3.8030303030303028,6.045454545454545,7.2272727272727275
24,1996.0,,,,,,33.75,34.983333333333334,40.35,33.63333333333333,34.86666666666667,39.083333333333336,33.06666666666666,34.38333333333333,37.46666666666667,6.066666666666666,6.666666666666667,9.916666666666668,6.083333333333333,6.65,9.100000000000001,6.0,6.366666666666666,7.933333333333334,0.0,0.33333333333333337,3.5,0.0,0.19999999999999998,2.466666666666667,-0.016666666666666666,0.049999999999999996,1.8333333333333333,40.0,43.766666666666666,45.78333333333333,40.666666666666664,43.96666666666667,45.983333333333334,41.25,45.233333333333334,48.03333333333333,3.8666666666666667,5.816666666666666,6.566666666666666,4.516666666666667,5.85,6.733333333333333,3.4833333333333334,5.95,7.25
25,1997.0,,,,,,33.81818181818182,35.163636363636364,41.018181818181816,33.69090909090909,35.03636363636364,39.63636363636363,33.07272727272727,34.50909090909091,37.872727272727275,6.072727272727273,6.7272727272727275,10.272727272727273,6.090909090909091,6.709090909090909,9.381818181818183,6.0,6.4,8.10909090909091,0.0,0.36363636363636365,3.8181818181818183,0.0,0.21818181818181817,2.690909090909091,-0.01818181818181818,0.05454545454545454,2.0,39.27272727272727,43.38181818181818,45.58181818181818,40.0,43.6,45.8,40.63636363636364,44.981818181818184,48.03636363636364,3.581818181818182,5.709090909090909,6.527272727272727,4.290909090909091,5.745454545454545,6.709090909090909,3.1636363636363636,5.8545454545454545,7.2727272727272725
26,1998.0,,,,,,33.88636363636363,35.343939393939394,41.68636363636364,33.74848484848485,35.2060606060606,40.18939393939394,33.07878787878788,34.63484848484848,38.27878787878788,6.078787878787879,6.787878787878788,10.628787878787879,6.098484848484849,6.7681818181818185,9.663636363636364,6.0,6.433333333333334,8.284848484848485,0.0,0.3939393939393939,4.136363636363637,0.0,0.23636363636363636,2.915151515151515,-0.019696969696969695,0.05909090909090909,2.1666666666666665,38.54545454545455,42.9969696969697,45.38030303030303,39.333333333333336,43.233333333333334,45.61666666666667,40.02272727272727,44.73030303030303,48.03939393939394,3.296969696969697,5.601515151515152,6.487878787878788,4.0651515151515145,5.640909090909091,6.684848484848485,2.8439393939393938,5.759090909090909,7.295454545454546
27,1999.0,,,,,,33.95454545454545,35.52424242424242,42.35454545454545,33.806060606060605,35.375757575757575,40.74242424242424,33.084848484848486,34.76060606060606,38.68484848484849,6.084848484848485,6.848484848484849,10.984848484848484,6.106060606060606,6.827272727272727,9.945454545454545,6.0,6.466666666666667,8.460606060606061,0.0,0.42424242424242425,4.454545454545454,0.0,0.2545454545454545,3.1393939393939396,-0.021212121212121213,0.06363636363636363,2.333333333333333,37.81818181818182,42.61212121212121,45.17878787878788,38.66666666666667,42.86666666666667,45.43333333333333,39.40909090909091,44.47878787878788,48.04242424242425,3.012121212121212,5.493939393939394,6.448484848484848,3.8393939393939394,5.536363636363636,6.660606060606061,2.5242424242424244,5.663636363636364,7.318181818181818
28,2000.0,,,,,,34.02272727272727,35.70454545454545,43.02272727272727,33.86363636363636,35.54545454545455,41.29545454545455,33.09090909090909,34.88636363636363,39.09090909090909,6.090909090909091,6.909090909090909,11.34090909090909,6.113636363636363,6.886363636363637,10.227272727272727,6.0,6.5,8.636363636363637,0.0,0.4545454545454546,4.7727272727272725,0.0,0.2727272727272727,3.3636363636363638,-0.022727272727272728,0.06818181818181818,2.5,37.09090909090909,42.22727272727273,44.97727272727273,38.0,42.5,45.25,38.79545454545455,44.22727272727273,48.04545454545455,2.7272727272727275,5.386363636363637,6.409090909090909,3.6136363636363633,5.431818181818182,6.636363636363637,2.204545454545454,5.568181818181818,7.340909090909091
29,2001.0,,,,,,34.09090909090909,35.88484848484848,43.69090909090909,33.92121212121212,35.71515151515152,41.848484848484844,33.096969696969694,35.01212121212121,39.4969696969697,6.096969696969697,6.96969696969697,11.696969696969697,6.121212121212121,6.945454545454545,10.50909090909091,6.0,6.533333333333333,8.812121212121212,0.0,0.48484848484848486,5.090909090909091,0.0,0.2909090909090909,3.587878787878788,-0.024242424242424242,0.07272727272727272,2.6666666666666665,36.36363636363636,41.842424242424244,44.775757575757574,37.333333333333336,42.13333333333333,45.06666666666666,38.18181818181818,43.97575757575758,48.04848484848485,2.4424242424242424,5.278787878787879,6.36969696969697,3.3878787878787877,5.327272727272727,6.612121212121212,1.8848484848484848,5.472727272727273,7.363636363636363
30,2002.0,,,,,,34.15909090909091,36.06515151515151,44.35909090909091,33.97878787878788,35.88484848484848,42.40151515151515,33.1030303030303,35.13787878787879,39.903030303030306,6.1030303030303035,7.03030303030303,12.053030303030305,6.128787878787879,7.004545454545455,10.790909090909093,6.0,6.566666666666666,8.987878787878788,0.0,0.5151515151515151,5.409090909090909,0.0,0.3090909090909091,3.812121212121212,-0.025757575757575757,0.07727272727272727,2.833333333333333,35.63636363636364,41.45757575757576,44.57424242424243,36.66666666666667,41.766666666666666,44.88333333333333,37.56818181818182,43.724242424242426,48.051515151515154,2.1575757575757573,5.171212121212121,6.33030303030303,3.162121212121212,5.222727272727273,6.587878787878788,1.5651515151515154,5.377272727272727,7.386363636363637
31,2003.0,,,,,,34.22727272727273,36.24545454545454,45.027272727272724,34.03636363636364,36.054545454545455,42.95454545454545,33.10909090909091,35.263636363636365,40.30909090909091,6.109090909090909,7.090909090909091,12.40909090909091,6.136363636363637,7.0636363636363635,11.072727272727274,6.0,6.6,9.163636363636364,0.0,0.5454545454545454,5.7272727272727275,0.0,0.32727272727272727,4.036363636363636,-0.02727272727272727,0.08181818181818182,3.0,34.90909090909091,41.07272727272727,44.372727272727275,36.0,41.4,44.7,36.95454545454545,43.47272727272727,48.054545454545455,1.872727272727273,5.0636363636363635,6.290909090909091,2.9363636363636365,5.118181818181818,6.5636363636363635,1.2454545454545451,5.281818181818181,7.409090909090909
32,2004.0,,,,,,34.29545454545455,36.42575757575757,45.695454545454545,34.093939393939394,36.224242424242426,43.50757575757576,33.11515151515152,35.38939393939394,40.71515151515151,6.115151515151515,7.151515151515151,12.765151515151516,6.143939393939394,7.122727272727273,11.354545454545455,6.0,6.633333333333333,9.33939393939394,0.0,0.5757575757575758,6.045454545454545,0.0,0.34545454545454546,4.260606060606061,-0.02878787878787879,0.08636363636363636,3.1666666666666665,34.18181818181818,40.68787878787879,44.17121212121212,35.333333333333336,41.03333333333333,44.516666666666666,36.34090909090909,43.22121212121212,48.057575757575755,1.587878787878788,4.956060606060606,6.251515151515152,2.71060606060606,5.013636363636364,6.539393939393939,0.9257575757575758,5.1863636363636365,7.431818181818182
33,2005.0,,,,,,34.36363636363637,36.60606060606061,46.36363636363636,34.15151515151515,36.39393939393939,44.06060606060606,33.12121212121212,35.515151515151516,41.121212121212125,6.121212121212121,7.212121212121212,13.121212121212121,6.151515151515151,7.181818181818182,11.636363636363637,6.0,6.666666666666666,9.515151515151516,0.0,0.6060606060606061,6.363636363636363,0.0,0.36363636363636365,4.484848484848484,-0.030303030303030304,0.09090909090909091,3.333333333333333,33.45454545454545,40.303030303030305,43.96969696969697,34.66666666666667,40.666666666666664,44.333333333333336,35.72727272727273,42.96969696969697,48.06060606060606,1.3030303030303028,4.848484848484849,6.212121212121212,2.4848484848484844,4.909090909090909,6.515151515151516,0.6060606060606055,5.090909090909091,7.454545454545455
