,year,Nh_10_mm,Anzahl_SR_10_mm,Nh_20_mm,Anzahl_SR_20_mm,Nh_30_mm,Anzahl_SR_30_mm,Trendlinie_Anzahl_SR_10_mm,Trendlinie_Anzahl_SR_20_mm,Trendlinie_Anzahl_SR_30_mm
0,1951,10,27.0,20,5.0,30,3.0,24.312206572769952,5.286384976525822,1.7840375586854464
1,1952,10,25.0,20,7.0,30,2.0,24.280348759222,5.2818242790073775,1.7825620389000676
2,1953,10,17.0,20,4.0,30,2.0,24.248490945674043,5.277263581488933,1.7810865191146887
3,1954,10,23.0,20,7.0,30,4.0,24.21663313212609,5.27270288397049,1.7796109993293094
4,1955,10,16.0,20,3.0,30,2.0,24.184775318578133,5.268142186452046,1.7781354795439306
5,1956,10,25.0,20,8.0,30,3.0,24.15291750503018,5.2635814889336014,1.7766599597585517
6,1957,10,30.0,20,4.0,30,2.0,24.121059691482223,5.259020791415157,1.7751844399731729
7,1958,10,28.0,20,6.0,30,1.0,24.089201877934272,5.254460093896714,1.773708920187794
8,1959,10,8.0,20,3.0,30,1.0,24.05734406438632,5.24989939637827,1.7722334004024152
9,1960,10,31.0,20,8.0,30,5.0,24.025486250838362,5.245338698859825,1.7707578806170359
10,1961,10,35.0,20,5.0,30,1.0,23.99362843729041,5.240778001341383,1.769282360831657
11,1962,10,22.0,20,5.0,30,1.0,23.961770623742453,5.236217303822938,1.7678068410462782
12,1963,10,19.0,20,5.0,30,1.0,23.9299128101945,5.231656606304494,1.7663313212608993
13,1964,10,19.0,20,3.0,30,3.0,23.898054996646543,5.227095908786049,1.7648558014755205
14,1965,10,34.0,20,11.0,30,2.0,23.866197183098592,5.222535211267607,1.7633802816901412
15,1966,10,30.0,20,6.0,30,2.0,23.834339369550634,5.217974513749162,1.7619047619047623
16,1967,10,22.0,20,5.0,30,1.0,23.802481556002682,5.213413816230718,1.7604292421193835
17,1968,10,29.0,20,5.0,30,2.0,23.77062374245473,5.208853118712273,1.7589537223340046
18,1969,10,21.0,20,4.0,30,1.0,23.738765928906773,5.204292421193831,1.7574782025486257
19,1970,10,26.0,20,6.0,30,2.0,23.70690811535882,5.199731723675386,1.7560026827632464
20,1971,10,19.0,20,3.0,30,1.0,23.675050301810863,5.195171026156942,1.7545271629778676
21,1972,10,19.0,20,6.0,30,2.0,23.643192488262912,5.190610328638497,1.7530516431924887
22,1973,10,18.0,20,3.0,30,0.0,23.611334674714954,5.186049631120055,1.7515761234071099
23,1974,10,26.0,20,7.0,30,1.0,23.579476861167002,5.18148893360161,1.750100603621731
24,1975,10,20.0,20,2.0,30,1.0,23.547619047619044,5.176928236083166,1.7486250838363517
25,1976,10,13.0,20,1.0,30,0.0,23.515761234071093,5.172367538564721,1.7471495640509729
26,1977,10,21.0,20,4.0,30,0.0,23.48390342052314,5.1678068410462785,1.745674044265594
27,1978,10,25.0,20,3.0,30,1.0,23.452045606975183,5.163246143527834,1.7441985244802152
28,1979,10,25.0,20,4.0,30,1.0,23.420187793427232,5.15868544600939,1.7427230046948363
29,1980,10,25.0,20,5.0,30,2.0,23.388329979879273,5.154124748490945,1.741247484909457
30,1981,10,28.0,20,7.0,30,3.0,23.356472166331322,5.1495640509725025,1.7397719651240782
31,1982,10,23.0,20,3.0,30,1.0,23.324614352783364,5.145003353454058,1.7382964453386993
32,1983,10,21.0,20,5.0,30,1.0,23.292756539235413,5.140442655935614,1.7368209255533205
33,1984,10,26.0,20,12.0,30,4.0,23.260898725687454,5.135881958417169,1.7353454057679416
34,1985,10,26.0,20,5.0,30,1.0,23.229040912139503,5.131321260898726,1.7338698859825623
35,1986,10,25.0,20,6.0,30,1.0,23.19718309859155,5.126760563380282,1.7323943661971835
36,1987,10,23.0,20,4.0,30,1.0,23.165325285043593,5.1221998658618375,1.7309188464118046
37,1988,10,30.0,20,4.0,30,1.0,23.133467471495642,5.117639168343395,1.7294433266264257
38,1989,10,22.0,20,2.0,30,0.0,23.101609657947684,5.11307847082495,1.727967806841047
39,1990,10,19.0,20,5.0,30,1.0,23.069751844399732,5.108517773306506,1.7264922870556676
40,1991,10,17.0,20,4.0,30,1.0,23.037894030851774,5.1039570757880615,1.7250167672702887
41,1992,10,22.0,20,5.0,30,2.0,23.006036217303823,5.099396378269619,1.7235412474849099
42,1993,10,32.0,20,7.0,30,2.0,22.974178403755865,5.094835680751174,1.722065727699531
43,1994,10,24.0,20,6.0,30,2.0,22.942320590207913,5.09027498323273,1.7205902079141522
44,1995,10,19.0,20,4.0,30,1.0,22.910462776659962,5.085714285714285,1.7191146881287729
45,1996,10,20.0,20,5.0,30,2.0,22.878604963112004,5.081153588195843,1.717639168343394
46,1997,10,23.0,20,6.0,30,2.0,22.846747149564052,5.076592890677398,1.7161636485580152
47,1998,10,30.0,20,8.0,30,3.0,22.814889336016094,5.072032193158954,1.7146881287726363
48,1999,10,28.0,20,8.0,30,3.0,22.783031522468143,5.067471495640509,1.7132126089872575
49,2000,10,23.0,20,5.0,30,1.0,22.751173708920184,5.062910798122067,1.7117370892018782
50,2001,10,25.0,20,4.0,30,1.0,22.719315895372233,5.058350100603622,1.7102615694164993
51,2002,10,33.0,20,8.0,30,2.0,22.687458081824275,5.053789403085178,1.7087860496311205
52,2003,10,25.0,20,5.0,30,2.0,22.655600268276324,5.049228705566733,1.7073105298457416
53,2004,10,26.0,20,7.0,30,4.0,22.623742454728372,5.044668008048291,1.7058350100603628
54,2005,10,24.0,20,6.0,30,1.0,22.591884641180414,5.040107310529846,1.7043594902749835
55,2006,10,19.0,20,4.0,30,2.0,22.560026827632463,5.035546613011402,1.7028839704896046
56,2007,10,29.0,20,7.0,30,2.0,22.528169014084504,5.030985915492957,1.7014084507042257
57,2008,10,22.0,20,5.0,30,3.0,22.496311200536553,5.026425217974515,1.699932930918847
58,2009,10,23.0,20,6.0,30,2.0,22.464453386988595,5.02186452045607,1.698457411133468
59,2010,10,23.0,20,5.0,30,5.0,22.432595573440636,5.017303822937626,1.6969818913480887
60,2011,10,19.0,20,3.0,30,1.0,22.400737759892692,5.012743125419181,1.69550637156271
61,2012,10,21.0,20,4.0,30,1.0,22.368879946344734,5.0081824279007385,1.694030851777331
62,2013,10,15.0,20,3.0,30,1.0,22.337022132796776,5.003621730382294,1.6925553319919522
63,2014,10,28.0,20,10.0,30,3.0,22.30516431924883,4.99906103286385,1.6910798122065733
64,2015,10,21.0,20,5.0,30,1.0,22.273306505700873,4.994500335345405,1.689604292421194
65,2016,10,20.0,20,4.0,30,2.0,22.241448692152915,4.9899396378269625,1.6881287726358152
66,2017,10,22.0,20,3.0,30,1.0,22.209590878604956,4.985378940308518,1.6866532528504363
67,2018,10,16.0,20,2.0,30,1.0,22.177733065057012,4.980818242790074,1.6851777330650575
68,2019,10,21.0,20,3.0,30,1.0,22.145875251509054,4.976257545271631,1.6837022132796786
69,2020,10,17.0,20,3.0,30,1.0,22.114017437961095,4.971696847753186,1.6822266934942998
70,2021,10,19.0,20,8.0,30,3.0,22.082159624413137,4.967136150234742,1.6807511737089205
